name,sport,nationality,continent,year,event,feat,genre,image_name,info
Alena Sharp,Golf,Canada,Amerique du Nord,2016,Individuel,Participation,Feminin,alena_sharp.jpg,"Première golfeuse canadienne à participer

Alena Sharp est une golfeuse lesbienne née en 1981 dans l’Ontario. Très jeune, elle découvre le golf. Fin 90 et début 2000, elle rejoint l’Université d’Etat du Nouveau-Mexique où elle intègre le club de golf. En 2033, après avoir obtenu son diplôme, Alena se lance dans une carrière professionnelle. Elle intègre d’abord le Futures Tour avant de rejoindre la LPGA en 2005. En 10 ans, la Canadienne remporte deux tournois. Ces petites victoires lui permettent de se qualifier pour les Jeux Olympique de 2016 où elle se classe à la 30e place. En 2021, elle participe de nouveau au tournoi olympique mais cette fois, elle termine 49e. En 2023, à 42 ans, Alena glane sa première médaille internationale, le bronze lors des Jeux Pan Américaine. Aujourd’hui, en 2024, la Canadienne est classée dans le top 260 mondiale.

Palmarès :
1x Médaille de bronze aux Jeux Pan Américain 
2x Canadian PGA Women's Championship, 1x Visit Mesa Gateway Classic
1x Champions For Change Invitational
4x Tournois de la Côte Ouest, 2x Cactus tour"
Brooke Henderson,Golf,Canada,Amerique du Nord,2016,Individuel,Participation,Feminin,brooke_henderson.jpg,"Première golfeuse canadienne à participer

Brooke Henderson est une jeune prodige du golf canadien née en 1997. Elle grandit dans une famille de golfeurs, c’est donc naturellement qu’elle aussi elle s’y met. Dès ses débuts en amateur, elle réalise de très bon classement et glane 17 tournois. Alors en 2015, à seulement 17 ans, Brooke se jette dans le grand bain de la LPGA. En 2016, la Canadienne remporte déjà son premier grand tournoi, le KPMG Women’s PGA. La même année, elle devient la plus jeune golfeuse à participer aux Jeux et à remporter un tournoi majeur (après 48 ans de disette pour le Canada). Après sa 7e aux Jeux Olympique, Brooke ne cesse d’enchaîner les victoires et les top 10. En 2021, elle compte déjà 10 victoires et logiquement sélectionner pour les Jeux, où elle finit 29e. Depuis, la Canadienne a ajouté un majeur dans son armoire plus de trophée de sportive de l’année. Aujourd’hui, à seulement 27 ans, Brooke est dans le top 10 mondiale.

Palmarès :
1x Evian Championship
1x Women’s PGA C’Ship, 2x Lotte Championship 
2x Meijer LPGA, 1x ShopRite LPGA Classic
2x Cambia Portland Classic, 1x McKayson New Zealand Women's Open Classic, 1x CP Women's Open
1x Diamond Resorts Tournament of Champions, 1x Four Winds, 2x SunCoast Series at Winter, 2x Tournoi du circuit canadien
17x Tournoi amateur"
Miriam Nagi,Golf,Brésil,Amérique du Sud,2016,Individuel,Participation,Feminin,miriam_nagi.jpg,"Seule golfeuse brésilienne à participer

Miriam Nagi est une golfeuse brésilienne-allemande née en 1981. A l’âge de 8 ans, sa famille déménage pour Berlin. C’est ici qu'elle découvre le golf puis décide de partir à l’Université d'État de l’Arizona pour participer à la NCAA. En 2001, Miriam passe professionnelle sur le circuit Futures Tour. Jusqu’en 2015, elle représente l’Allemagne pour qui elle a remporté deux tournois mineurs. Avant les Jeux, Miriam gagne son dernier tournoi, la Moss Vale Ladies Classic. A Rio, la golfeuse prend les couleurs de son pays natal. Lors du tournoi, elle termine à la 52e place. Aujourd’hui, la Brésilienne semble s’être retirée du circuit professionnel.

Palmarès :
1x Moss Vale Ladies Classic, 1x Grand Rapids Futures Classic, 1x Capital Region Futures Classic"
Victoria Lovelady,Golf,Brésil,Amérique du Sud,2016,Individuel,Participation,Feminin,victoria_lovelady.jpg,"Seule golfeuse brésilienne à participer

Victoria Lovelady naît en 1986 à Sao Paulo. Sa famille déménage à Rio à 6 ans. Là-bas, elle teste de nombreux sports (natation, handball, surf et football) avant de découvrir sa passion pour le golf à ses 12 ans.  Quatre ans plus tard, elle remporte son premier tournoi local sous les couleurs de San Fernando. Peu de temps après, Victoria part étudier à l’Université de Sud de la Californie et intègre son club de golf. Après son diplôme en poche, elle part s’installer en Colombie pour rejoindre son mari et entraîneur, Pedro Russi. En 2012, elle devient professionnelle et plus tard elle intègre le circuit Ladies European Tour. En 2016, la golfeuse défend les couleurs du Brésil lors des Jeux Olympique, où elle termine 53e. Depuis, Victoria n’a toujours pas gagner de tournois et se classe (en 2024) dans le trop 650 mondiale"
Mariajo Uribe,Golf,Colombie,Amérique du Sud,2016,Individuel,Participation,Feminin,mariajo_uribe.jpg,"Première golfeuse colombienne à participer

Mariajo Uribe est une golfeuse professionnelle colombienne du circuit LPGA née en 1990. A l'âge de 17 ans, elle remporte l'U.S. Women's Amateur, devenant ainsi la seule joueuse d'Amérique latine à remporter ce championnat. En 2008, elle joue à UCLA où elle est sélectionnée dans la première équipe All-American en 2008 et 2009, avant de retourner en Colombie au printemps 2009. La même année, elle décide de devenir professionnelle en rejoignant le circuit Futures Tour avant d’intégrer la LPGA en 2011. Quatre ans plus tard, Mariajo devient championne panaméricaine. Ce titre lui permet d’être sélectionnée pour le tournoi olympique où elle termine 19e. En 2021, elle se qualifie de nouveau et termine cette fois à la 50e place. En 2023, elle décroche sa dernière médaille (actuellement), l’argent aux Jeux Panaméricaine. En 2024, la golfeuse est classée dans le top 175 mondiale.

Palmarès :
1x Championne panaméricaine, 1x Vice championne panaméricaine
1x Vice championne sud américaine 
1x Women's NSW Open, 1x HSBC Brazil Cup
1x Mexican International Amateur 1x U.S. Women's Amateur"
Alejandra Llaneza,Golf,Mexique,Amérique du Nord,2016,Individuel,Participation,Feminin,alejandra_llaneza.jpg,"Première golfeuse mexicaine à participer

Alejandra Llaneza est une golfeuse mexicaine née en 1988 à Mexico. Depuis son enfance, elle joue au golf avec son père, un vrai adepte de ce sport. A 8 ans, elle participe à son premier tournoi. Plus tard, elle intègre l'équipe de golf de l'Université de l'Arizona dans le but de passer d'amateur à professionnelle. En tant qu’amateur, elle a remporté cinq victoires au Championnat National Junior du Mexique, une à la Copa de las Américas,. Elle devient même MVP du circuit junior du Texas. En 2011, Alejandra participe à son premier tournoi professionnel. L’année suivante, elle est élue meilleure golfeuse mexicaine. En 2016, elle participe aux Jeux olympiques où elle termine 44e. En 2021, la golfeuse met un terme à sa carrière professionnelle.

Palmarès :
1x Pennsylvania Women's Open
1x Wigwam Cactus Tour event
1x Garden City Charity Classic, 1x Self Regional Healthcare Foundation Women's Health Charity Classic"
Gaby Lopez,Golf,Mexique,Amérique du Nord,2016,Individuel,Participation,Feminin,gaby_lopez.jpg,"Première golfeuse mexicaine à participer

Maria Lopez est née en 1993 à Mexico. Elle commence le golf à l'âge de sept ans et devient professionnelle à 16 ans après une victoire à San Diego. En 2015, elle se classe deuxième au Championnat de la NCAA. Par ses résultats, Maria se qualifie pour les Jeux Olympique. Sur ce tournoi, elle termine à la 31e place. En 2018, elle remporte son premier tournoi professionnel (Blue Bay LPGA) puis un autre en 2020. De nouveau, elle tente de se qualifier pour les Jeux mais échoue. En 2022, Maria remporte son dernier tournoi (à l’heure actuelle) sur le circuit LPGA. Elle joue toujours sur ce circuit et espère pouvoir un jour réaliser son rêve de décrocher une médaille olympique.

Palmarès :
1x Blue Bay LPGA
1x Diamond Resorts Tournament of Champions
1x Dana Open
9x Tournoi en amateur"
Julieta Granada,Golf,Paraguay,Amérique du Sud,2016,Individuel,Participation,Feminin,julieta_granada.jpg,"Première golfeuse paraguayenne à participer

Julieta Granada est une golfeuse professionnelle paraguayenne née en 1986 à Asunción. Elle commence le golf très tôt. En 2004, elle obtient une bourse pour intégrer une université aux États-Unis. Avec ce club université, elle remporte de nombreux tournois universitaires. Elle est alors considérée comme la meilleure golfeuse de son pays. En 2005, elle passe professionnel et remporte son premier tournoi l’YMCA Futures Classic. Pendant 10 ans, Julieta ne cesse de progresser, se classant notamment 5e du Bristish Open en 2014. Elle décroche aussi son premier titre continental lors des Jeux sud-américains. En 2016, elle se qualifie pour les Jeux Olympique et est le porte drapeau pour le Paraguay. Elle finit 44e du tournoi olympique. Elle renoue de nouveau avec les podium en 2019 lorsqu’elle se classe deuxième aux Jeux panaméricains. Malheureusement, en 2021, Julieta n’arrive pas à se qualifier pour les Jeux Olympiques. Elle participe à son dernier tournoi LPGA en 2023.

Palmarès : 
2x Championne sud américaine
1x Manche de coupe du Monde
1x PGA Playoffs at The ADT
1x YWCA Futures Classic
1x AJGA Rolex Girls Junior Championship 1x South Atlantic Ladies Amateur Championship"
Shanshan Feng,Golf,Chine,Asie,2016,Individuel,Médaille,Feminin,shanshan_feng.jpg,"Première golfeuse chinoise en bronze

Shanshan Feng est une ancienne golfeuse chinoise née en 1989. Elle commence le golf à 10 ans avec son père, Feng Xiong, comme mentor. Mais sa famille manque de moyens pour financer les équipements et les trajets. Fort heureusement, Shanshan se relève douée d’un véritable talent. Elle décroche notamment le titre national junior en 2004. L’année suivante, la golfeuse obtient une place sur le circuit LPGA après avoir brillé lors du tournoi de qualification. Sa famille sent sous léger, eux qui était au bord hypothéquer leur maison pour le rêve de leur fille. En 2012, Shanshan prend ses marques et glane ses premières victoires. Aux Jeux de Rio, elle est une des favorites du tournoi. La golfeuse finit avec le bronze autour du cou. Les deux saisons suivantes, elle est numéro 1 mondiale remportant de plus en plus de victoires prestigieuses. Malheureusement, Shanshan loupe la qualification pour les Jeux de Tokyo et annonce sa retraite sportive en 2022.

Palmarès :
1x Médaille de bronze aux JO
1x Championne du Monde
1x Wegmans LPGA Championship, 1x Championnat LPGA, 2x Sime Darby LPGA Malaysia, 1x Reignwood LPGA Classic, 1x Blue Bay LPGA, 1x Thornberry Creek LPGA Classic
2x Toto Japan Classic, 1x CME Group Titleholders
7x Tournoi sur le circuit japon LGPA, 7x Tournoi sur le circuit européen LPGA"
Inbee Park,Golf,Corée du Sud,Asie,2016,Individuel,Titre,Feminin,inbee_park.jpg,"
Première golfeuse asiatique championne olympique - Plus vieille golfeuse titrée

Inbee Park est née à Séoul en 1988. Dès ses 10 ans, elle commence à jouer au golf. Rapidement, elle se relève être une golfeuse de talent. Alors à 18 ans, elle décide de passer professionnelle. Un an plus tard, elle gagne l'US Open, devenant la plus jeune gagnante. Inbee a encore des progrès à faire notamment sur son swing. Avec l’aide Gi Hyeob Nam son coup s’améliore, lui permettant de gagner trois tournois majeurs en 2015 (dont le British Open). Alors en 2016, Inbee est la favorite pour remporter l’or olympique. Effectivement, elle remporte le tournoi. Après cette compétition, la golfeuse prend une pause de six mois. Dès son retour, elle remporte le Champions féminins HSBC en 2017. A partir de l’année suivante, Inbee participe de moins en moins à la compétition dû à son dos douloureux. Elle prend officiellement sa retraite en 2022, sans avoir réussi à défendre son titre olympique.

Palmarès :
1x Championne olympique
1x Championne du Monde
3x Championne de la PGA
1x British Open, 3x Evian Championship, 2x US Open, 1x Chevron Championship
14x Tournoi sur le circuit LPGA, 4x Tournoi sur le circuit JLPGA 3x Tournoi sur le circuit européen de la LPGA, 1x Tournoi sur le circuit KLPGA
2x Mission Hills World Ladies Championship"
Tiffany Chan,Golf,Hong Kong,Asie,2016,Individuel,Participation,Feminin,tiffany_chan.jpg,"Première golfeuse hongkongaise à participer

Tiffany Chan, née en 1993, est une golfeuse professionnelle de Hong Kong. Sur le circuit amateur, elle enregistre certains bons résultats comme sa victoire au Hong Kong Ladies Open. En 2016, Tiffany étudie à l’Université de Californie du Sud et décroche son billet olympique. Lors de ce tournoi, elle termine 37e. L’année suivante, elle devient professionnelle. Elle commence d’abord sur le Symetra Tour avant d’obtenir sa carte pour la LPGA en 2018. Tiffany se qualifie de nouveau pour les Jeux Olympiques. Cette fois-ci, elle termine 50e. En 2024, elle fait partie du top 550 mondial.

Palmarès :
1x Championne du Monde universitaire
1x TLPGA Future Open, 1x Hong Kong Ladies Open
3x Hong Kong Ladies Close
3x NJCAA National Championship
13x Autre tournoi en amateur"
Aditi Ashok,Golf,Inde,Asie,2016,Individuel,Participation,Feminin,aditi_ashok.jpg,"Première golfeuse indienne à participer

Aditi Ashok, né le 29 mars 1998, est un golfeur professionnel indien. Elle découvre le golf à l'âge de 5 ans par curiosité. En effet, lors d’un repas au restaurant, elle voit des hommes jouer et demande à son père ce qu’ils font. Sa famille l’amène alors sur le parcours du golf pour les rencontrer. A partir de là, elle commence ce sport soutenu et accompagné par ses parents. En 2016, Aditi devient la première golfeuse indienne dans quatre compétitions internationales majeures, remportant le Lalla Aïcha Tour et l'Open indien féminin notamment. Cette même année, elle participe au tournoi olympique où elle termine 41e. L’année suivante, la golfeuse intègre le LPGA. En 2021, elle est de nouveau qualifiée mais finit cette fois à la 45e place. Depuis 2023, Aditi ne cesse de progresser et de monter sur les podiums, décrochant même quelques victoires. Aujourd’hui, elle fait partie du top 60 mondiale.

Palmarès :
1x Hero Women's Indian Open, 1x Qatar Ladies Open, 1x Fatima Bint Mubarak Ladies Open, 1x Magical Kenya Ladies Open, 1x Andalucia Costa Del Sol Open De España
2x Hero Professional Tour Leg
17x Tournoi amateur "
Laetitia Beck,Golf,Israël,Asie,2016,Individuel,Participation,Feminin,laetitia_beck.png,"Seule golfeuse israélienne à participer

Laetitia Beck, une golfeuse professionnelle d'origine belge, est née à Anvers en 1992. A l’âge de 6 ans, sa famille déménage en Israël. Là-bas, à 9 ans, elle commence à jouer au golf et au tennis (qu’elle arrête tôt). Dans le but de trouver une compétition plus intense, elle est partie aux États-Unis à l'adolescence. Ici, Laetitia remporte ses premiers tournois en amateur. En 2014, par ses performances, elle décroche une place pour la LPGA, devenant la première Israélienne à y participer. Peu à peu, elle fait son chemin sans pour autant réaliser des podiums. En 2016, elle se qualifie aux Jeux où elle termine 34e. En 2021, elle réalise sa meilleure performance en terminant deuxième du Mission Inn Resort & Club Championship. En 2024, Laetitia fait partie du top 700 mondiale.

Palmarès :
3x Maccabiah Games"
Haru Nomura,Golf,Japon,Asie,2016,Individuel,Participation,Feminin,haru_nomura.jpg,"Première golfeuse japonaise à participer

Haru Nomura est une golfeuse professionnelle japonaise née en 1992. D'origine coréenne et japonaise, elle a grandi en Corée du Sud. C’est ici qu’à 11 ans, elle se met à jouer au golf. Très rapidement, elle devient la meilleure golfeuse de son âge en Corée. Alors en 2010, Haru passe sur le circuit professionnel. En 2011, elle déménage au Japon après avoir obtenu sa nationalité japonaise. Peu de temps après, la golfeuse gagne ses premiers tournois dont l’ISPS Handa Women's Australian Open peu avant les Jeux de Rio. Lors des JO, elle termine 7e. En 2021, Hamu loupe la qualification pour participer aux Jeux chez elle. Depuis fin 2023, la golfeuse n’a participé à aucun tournoi LPGA.

Palmarès :
1x ISPS Handa Women's Australian Open, 1x Chukyo TV Bridgestone Ladies Open
1x Swinging Skirts LPGA Classic,1x Hanwha Finance Classic
1x Volunteers of America Texas Shootout
1x Daytona Beach Invitational"
Shiho Oyama,Golf,Japon,Asie,2016,Individuel,Participation,Feminin,shiho_oyama.jpg,"Première golfeuse japonaise à participer

Shino Oyama naît en 1977 au Japon. A 10 ans, elle commence à jouer au golf après avoir regardé avec son père un drama sur le golf. En 1994, elle remporte le titre national en catégorie junior. Après avoir réussi à obtenir son diplôme universitaire, elle se lance sur le circuit professionnel. En 2003, Shino gagne son premier tournoi. Puis en 2006,  elle établit un record en remportant trois tournois en un mois. Elle est également devenue la première personne à dépasser les 150 millions de yens de gain dans l'histoire de la JLPGA. Ses diverses performances lui permettent d’obtenir son billet pour les Jeux où elle se classe 42e. Entre 2016 et 2021, elle gagne uniquement deux tournois, l’empêchant d’obtenir son billet pour Tokyo. En 2022, Shiho stoppe sa carrière sportive.

Palmarès : 
2x Masters GC Dames
12x Tournoi sur le circuit Ricoh de la LPGA
3x Tournoi amateur"
Kelly Tan,Golf,Malaisie,Asie,2016,Individuel,Participation,Feminin,kelly_tan.jpg,"Première golfeuse malaisienne à participer

Kelly Tan est une golfeuse professionnelle malaisienne née en 1993. Elle obtient sa carte pour la LPGA Tour en 2014 grâce à un tournoi de qualification. Deux ans plus tard, elle se qualifie pour les Jeux olympiques d'été de 2016. Lors de ces Jeux, Kelly se classe 51e. En 2019, la golfeuse remporte son premier (et seul) trophée professionnel Florida's Natural Charity Classic. En 2021, elle participe de nouveau aux Jeux. Cette fois-ci, elle finit à la 34e place. Kelly est actuellement dans le top 800 mondiale.

Palmarès :
1x Florida's Natural Charity Classic
11x Tournoi amateur"
Michelle Koh,Golf,Malaisie,Asie,2016,Individuel,Participation,Feminin,michelle_koh.jpg,"Première golfeuse malaisienne à participer

Michelle Koh naît en 1990 en Malaisie. Elle a joué pour l'Université Campbell pendant ses études. En 2009, elle a remporté une médaille de bronze aux Jeux d'Asie du Sud-Est. En 2015, elle remporte son premier tournoi professionnel, le CTBC Shanghai Ladies Classic. Puis, elle enchaîne un peu après en gagnant son dernier tournoi, Kenda Tires TLPGA Open. Un an plus tard, elle participe aux Jeux où elle termine 58e.

Palmarès : 
1x Médaille de bronze aux Jeux asiatique
1x CTBC Shanghai Ladies Classic, 1x Kenda Tires TLPGA Open
7x Tournoi amateur"
Candie Kung,Golf,Taiwan,Asie,2016,Individuel,Participation,Feminin,candie_kung.jpg,"Première golfeuse taiwanaise à participer

Candie Kung, née en 1981, est une golfeuse professionnelle américano-taiwanaise. Elle a été All-American de l'AJGA et a remporté l'U.S. Women's Amateur Public Links. Elle a joué sur le Futures Tour et a remporté le SBC Futures Tour Championship en 2001. Elle a gagné une place sur le circuit LPGA en 2002. L’année suivante, elle remporte trois tournois. En 2009, Candie a été toute proche de remporter son premier majeur à l’US Open. Elle était à égalité avant le dernier trou. En 2016, elle se qualifie pour les Jeux Olympiques. Elle finit à la 31e place en défendant les pays de ses origines, Taiwan. Trois ans plus tard, en 2019, Candie met un terme à sa carrière.

Palmarès :
1x SBC FUTURES Tour Championship, 1x Hana Bank-KOLON Championship
1x LPGA Takefuji Classic, 1x Wachovia LPGA Classic
1x State Farm Classic"
Teresa Lu,Golf,Taiwan,Asie,2016,Individuel,Participation,Feminin,teresa_lu.jpg,"Première golfeuse taiwanaise à participer

Teresa Lu est une golfeuse professionnelle taïwanaise née en 1987. Elle intègre la Ladies Asian Golf Tour et la LPGA en 2006. Pendant 4 ans, elle enchaîne les tournois remportant de temps à autres des trophées. En 2013, Teresa change de ligue pour intégrer la Japan Tour. En un peu moins de 3 ans, la golfeuse gagne dix tournois. Cet enchaînement de victoires lui permettent d’obtenir son billet pour les Jeux. En 2016, elle termine à la 16e place du tournoi olympique. L’année suivante, elle réalise son meilleure classement mondial en étant à la 19e place. Aucune golfeuse taïwanaise n’a fait mieux. Sa dernière victoire date de 2017, se classant aujourd’hui dans le top 600 mondial.

Palmarès : 
1x Mizuno Classic, 1x Hitachi Ladies Classic
1x Japan Women's Open Golf Championship
2x Japan LPGA Tour Championship Ricoh Cup, 1x Japan LPGA Championship Konica Minolta Cup, 12x Autre tournoi du circuit japonaise de la LPGA
1x CTBC Ladies Open, 1x Taifong Ladies Open"
Ariya Jutanugarn,Golf,Thaïlande,Asie,2016,Individuel,Participation,Feminin,ariya_jutanugarn.jpg,"Première golfeuse thaïlandaise à participer

Ariya Jutanugarn est une golfeuse professionnelle thaïlandaise née en 1995. A l’époque, ses parents possèdent un magasin de golf alors c’est naturellement qu’elle se tourne vers ce sport très jeune. A 11 ans, elle se qualifie pour la Honda LPGA Thaïlande, un tournoi du circuit LPGA. En 2012, à 16 ans, Ariya devient professionnelle. En 2013, elle participe à son premier Ladies European Tour. Dès ses débuts, elle gagne un tournoi, le Lalla Meryem Cup. Après trois ans de disette, la golfeuse renoue avec la victoire peu de temps avant les Jeux. Lors de l’épreuve olympique,  Ariya est disqualifiée. Après cette amère compétition, la golfeuse hésite à arrêter. Finalement, elle continue et enchaîne les victoires après deux ans de disette. Elle se qualifie de nouveau aux Jeux Olympiques. Cette fois-ci, elle termine le tournoi et finit à la 43e place. Actuellement, Ariya fait partie du top 50 mondial.

Palmarès :
1x US Open, 1x British Open
2x Kingsmill Championship
8x Autre tournoi LPGA
1x Lalla Meryem Cup, 1x Aberdeen Standard Investments Ladies Scottish Open
10x Tournoi amateur"
